"source_id","raw_name","app_display_name","source_parent_id","parent_raw_name","parent_app_display_name","color","icon_key","icon_display_label"
"14","auto_and_transport","auto and transport",,"","","#DEAB5E","car","car"
"15","bills_and_utilities","bills and utilities",,"","","#C36B55","file-invoice","file invoice"
"16","business_and_work","business and work",,"","","#726046","briefcase","briefcase"
"17","cash_and_checks","cash and checks",,"","","#EDE1D4","money-check","money check"
"18","food_and_beverage","food and beverage",,"","","#EED7B4","burger-soda","burger soda"
"19","fees","fees",,"","","#B54053","coins","coins"
"20","income","income",,"","","#77CFAC","arrow-down","arrow down"
"21","leasure_and_entertainment","leasure and entertainment",,"","","#9E89F2","popcorn","popcorn"
"22","investment","investment",,"","","#63E095","chart-line-up","chart line up"
"23","healthcare","healthcare",,"","","#E88079","medkit","medkit"
"25","refunds","refunds",,"","","#228C83","hand-holding-dollar","hand holding dollar"
"26","taxes","taxes",,"","","#FFC2C2","bank","bank"
"27","transfer","transfer",,"","","#59BDC5","money-bill-transfer","money bill transfer"
"30","personal_and_home_essentials","personal and home essentials",,"","","#CF6AFF","home","home"
"35","unknown","unknown",,"","","#2E2F33","circle-question","circle question"
"31365","fuel","fuel","14","auto_and_transport","auto and transport","#DEAB5E","gas-pump","gas pump"
"31366","repairs","repairs","14","auto_and_transport","auto and transport","#DEAB5E","car-wrench","car wrench"
"31367","public_transport","public transport","14","auto_and_transport","auto and transport","#DEAB5E","bus","bus"
"31368","taxi","taxi","14","auto_and_transport","auto and transport","#DEAB5E","taxi","taxi"
"31369","parking","parking","14","auto_and_transport","auto and transport","#DEAB5E","parking","parking"
"31370","insurance","insurance","14","auto_and_transport","auto and transport","#DEAB5E","file-invoice","file invoice"
"31371","car_rental","car rental","14","auto_and_transport","auto and transport","#DEAB5E","car-building","car building"
"31372","plane_tickets","plane tickets","14","auto_and_transport","auto and transport","#DEAB5E","plane","plane"
"31373","train_tickets","train tickets","14","auto_and_transport","auto and transport","#DEAB5E","train","train"
"31374","tolls","tolls","14","auto_and_transport","auto and transport","#DEAB5E","cars","cars"
"31375","car_wash","car wash","14","auto_and_transport","auto and transport","#DEAB5E","car-wash","car wash"
"31376","electricity","electricity","15","bills_and_utilities","bills and utilities","#C36B55","bolt","bolt"
"31377","water","water","15","bills_and_utilities","bills and utilities","#C36B55","droplet","droplet"
"31378","internet","internet","15","bills_and_utilities","bills and utilities","#C36B55","globe","globe"
"31379","mobile_phone","mobile phone","15","bills_and_utilities","bills and utilities","#C36B55","mobile","mobile"
"31380","heating","heating","15","bills_and_utilities","bills and utilities","#C36B55","heat","heat"
"31381","trash_and_recycling","trash and recycling","15","bills_and_utilities","bills and utilities","#C36B55","phone-office","phone office"
"31382","bills_subscriptions","bills subscriptions","15","bills_and_utilities","bills and utilities","#C36B55","file-contract","file contract"
"31383","office_supplies","office supplies","16","business_and_work","business and work","#726046","paperclip","paperclip"
"31384","professional_services","professional services","16","business_and_work","business and work","#726046","user-tie","user tie"
"31385","business_travel","business travel","16","business_and_work","business and work","#726046","briefcase-arrow-right","briefcase arrow right"
"31386","advertising","advertising","16","business_and_work","business and work","#726046","megaphone","megaphone"
"31387","freelancing","freelancing","16","business_and_work","business and work","#726046","business-time","business time"
"31388","accounting","accounting","16","business_and_work","business and work","#726046","calculator-simple","calculator simple"
"31389","printing","printing","16","business_and_work","business and work","#726046","print","print"
"31390","shipping","shipping","16","business_and_work","business and work","#726046","truck","truck"
"31391","salary","salary","16","business_and_work","business and work","#726046","money-bill-wave","money bill wave"
"31392","marketing","marketing","16","business_and_work","business and work","#726046","bullseye-pointer","bullseye pointer"
"31393","online_services","online services","16","business_and_work","business and work","#726046","server","server"
"31394","legal_assistance","legal assistance","16","business_and_work","business and work","#726046","legal","legal"
"31395","financial_advising","financial advising","16","business_and_work","business and work","#726046","building-columns","building columns"
"31396","withdrawal","withdrawal","17","cash_and_checks","cash and checks","#EDE1D4","money-from-bracket","money from bracket"
"31397","check_deposit","check deposit","17","cash_and_checks","cash and checks","#EDE1D4","money-check","money check"
"31398","cash_deposit","cash deposit","17","cash_and_checks","cash and checks","#EDE1D4","sack-dollar","sack dollar"
"31399","bank_fees","bank fees","19","fees","fees","#B54053","building-columns","building columns"
"31400","late_fees","late fees","19","fees","fees","#B54053","clock","clock"
"31401","service_charge","service charge","19","fees","fees","#B54053","bell-concierge","bell concierge"
"31402","groceries","groceries","18","food_and_beverage","food and beverage","#EED7B4","salad","salad"
"31403","dining_out","dining out","18","food_and_beverage","food and beverage","#EED7B4","utensils","utensils"
"31404","fast_food","fast food","18","food_and_beverage","food and beverage","#EED7B4","burger","burger"
"31405","alcohol_and_bars","alcohol and bars","18","food_and_beverage","food and beverage","#EED7B4","beer-mug","beer mug"
